Gas,Mean,Std,Median,Max,Skewness,ZeroCount
Hydrogen,12.2855116477273,40.3685510128448,5,642,11.8632359297196,386
Methane,22.4190340909091,87.8043099817784,2,1524,14.4030300947659,262
Ethane,19.4644889204545,48.5906724932649,1,432,3.48858806599721,690
Ethylene,25.0681818181818,170.122213385669,3,3060,16.318623659726,442
Acetylene,1.53835227272727,17.5319776671661,0,320,17.2419243725757,1268
Carbon Monoxide,266.603693181818,343.867899195643,165.5,3739,4.70991054433415,4
Carbon Dioxide,2218.90767045455,1983.29612395091,1547,13731,2.11022969199258,2
