Feature,Center_Median,Scale_IQR
Hydrogen,1.79175946922805,2.484906649788
Methane,1.09861228866811,2.19722457733622
Ethane,0.693147180559945,2.07944154167984
Ethylene,1.38629436111989,2.56494935746154
Acetylene,0,1
Carbon Monoxide,5.12989871492307,1.37346205961179
Carbon Dioxide,7.34471905414967,1.17543971268996
pct_CH4,50,83.1010452961673
pct_C2H4,21.4285714285714,62.387885422934
pct_C2H2,0,1
