Model,Samples_at_95pct,Pct_of_data,Target_F1,Peak_F1
SVM,563,50,0.941681669394435,0.991243862520458
kNN,676,60,0.929039361702128,0.977936170212766
DT,563,50,0.867313023599319,0.912961077472967
