Hydrogen,Methane,Ethane,Ethylene,Acetylene,Carbon Monoxide,Carbon Dioxide,Fault_Type,%CH4,%C2H4,%C2H2
40.0,1,0.0,0,1,218,1276,0,50.0,0.0,50.0
4.0,4,3.0,1,0,77,1327,2,80.0,20.0,0.0
0.0,3,0.0,0,0,347,3245,0,100.0,0.0,0.0
42.0,2,0.0,2,0,205,1460,0,50.0,50.0,0.0
40.0,1,0.0,0,1,218,1276,0,50.0,0.0,50.0
11.0,57,11.0,1,0,572,1612,2,98.27586206896551,1.7241379310344827,0.0
0.0,0,0.0,0,0,168,809,0,0.0,0.0,0.0
12.0,1,0.0,1,0,121,455,0,50.0,50.0,0.0
26.0,0,0.0,1,0,187,853,0,0.0,100.0,0.0
11.0,57,11.0,1,0,572,1612,2,98.27586206896551,1.7241379310344827,0.0
0.0,0,0.0,0,0,168,809,0,0.0,0.0,0.0
12.0,1,0.0,1,0,121,455,0,50.0,50.0,0.0
26.0,0,0.0,1,0,187,853,0,0.0,100.0,0.0
9.0,0,0.0,1,0,114,428,0,0.0,100.0,0.0
29.0,1,0.0,2,0,136,640,0,33.33333333333333,66.66666666666666,0.0
0.0,0,0.0,0,0,212,850,0,0.0,0.0,0.0
14.0,2,0.0,1,0,271,442,0,66.66666666666666,33.33333333333333,0.0
17.0,4,0.0,2,0,218,965,0,66.66666666666666,33.33333333333333,0.0
14.0,2,0.0,1,0,271,442,0,66.66666666666666,33.33333333333333,0.0
0.0,0,0.0,0,0,212,850,0,0.0,0.0,0.0
29.0,1,0.0,2,0,136,640,0,33.33333333333333,66.66666666666666,0.0
9.0,0,0.0,1,0,114,428,0,0.0,100.0,0.0
10.0,0,0.0,1,0,104,525,0,0.0,100.0,0.0
23.0,1,0.0,1,0,104,520,0,50.0,50.0,0.0
0.0,0,0.0,0,0,178,957,0,0.0,0.0,0.0
24.0,1,0.0,1,0,573,1018,0,50.0,50.0,0.0
24.0,1,0.0,1,0,573,1018,0,50.0,50.0,0.0
0.0,0,0.0,0,0,178,957,0,0.0,0.0,0.0
23.0,1,0.0,1,0,104,520,0,50.0,50.0,0.0
10.0,0,0.0,1,0,104,525,0,0.0,100.0,0.0
18.0,0,0.0,0,0,141,699,0,0.0,0.0,0.0
0.0,0,0.0,0,0,217,1339,0,0.0,0.0,0.0
9.0,2,0.0,0,0,266,628,0,100.0,0.0,0.0
9.0,2,0.0,1,0,337,1134,0,66.66666666666666,33.33333333333333,0.0
9.0,2,0.0,0,0,266,628,0,100.0,0.0,0.0
0.0,0,0.0,0,0,217,1339,0,0.0,0.0,0.0
18.0,0,0.0,0,0,141,699,0,0.0,0.0,0.0
2.0,2,2.0,12,0,148,1547,4,14.285714285714285,85.71428571428571,0.0
6.0,1,0.0,13,0,169,1799,0,7.142857142857142,92.85714285714286,0.0
3.0,1,0.0,17,0,160,1835,0,5.555555555555555,94.44444444444444,0.0
0.0,1,0.0,20,0,83,1402,0,4.761904761904762,95.23809523809523,0.0
0.0,0,0.0,12,0,82,1717,0,0.0,100.0,0.0
7.0,1,0.0,17,0,152,935,0,5.555555555555555,94.44444444444444,0.0
